Id_Siniestro;Nro_Victimas;Fecha;Franja_Hora;Tipo_Calle;Comuna;Longitud;Latitud;Victima;Acusado;Rol;Sexo;Edad;Año;Mes;Semestre
2016-0001;1;1/01/2016;Madrugada;Avenida;8;-58,4753397;-34,68757022;Moto;Auto;Conductor;Masculino;19;2016;1;1
2016-0002;1;2/01/2016;Madrugada;Gral Paz;9;-58,5087752;-34,66977709;Auto;Pasajeros;Conductor;Masculino;70;2016;1;1
2016-0003;1;3/01/2016;Mañana;Avenida;1;-58,3904029;-34,63189362;Moto;Auto;Conductor;Masculino;30;2016;1;1
2016-0004;1;10/01/2016;Madrugada;Avenida;8;-58,465039;-34,68092974;Moto;NaN;Conductor;Masculino;18;2016;1;1
2016-0005;1;21/01/2016;Madrugada;Avenida;1;-58,387183;-34,6224663;Moto;Pasajeros;Conductor;Masculino;29;2016;1;1
2016-0008;1;24/01/2016;Noche;Avenida;8;-58,4445132;-34,68475866;Moto;Objeto Fijo;Conductor;Masculino;30;2016;1;1
2016-0009;1;24/01/2016;Noche;Calle;11;-58,5009587;-34,6082544;Moto;Auto;Pasajero_Acompañante;Masculino;29;2016;1;1
2016-0010;1;29/01/2016;Tarde;Gral Paz;9;-58,5087752;-34,66977709;Moto;Auto;Conductor;Masculino;18;2016;1;1
2016-0012;1;8/02/2016;Madrugada;Avenida;1;-58,3804858;-34,61303893;Moto;Cargas;Conductor;Masculino;22;2016;2;1
2016-0013;1;10/02/2016;Mañana;Avenida;1;-58,3911493;-34,62477387;Peaton;Auto;Peaton;Masculino;16;2016;2;1
2016-0015;1;14/02/2016;Madrugada;Avenida;15;-58,4376002;-34,59912758;Peaton;Auto;Peaton;Femenino;16;2016;2;1
2016-0016;1;14/02/2016;Noche;Avenida;4;-58,3688267;-34,64291993;Moto;Auto;Pasajero_Acompañante;Femenino;19;2016;2;1
2016-0017;1;15/02/2016;Tarde;Avenida;8;-58,4498967;-34,65970435;Peaton;Moto;Peaton;Masculino;59;2016;2;1
2016-0019;1;17/02/2016;Mañana;Calle;9;-58,5099088;-34,65468721;Peaton;Pasajeros;Peaton;Femenino;65;2016;2;1
2016-0020;1;17/02/2016;Tarde;Calle;1;-58,3795222;-34,60653282;Peaton;Auto;Peaton;Masculino;59;2016;2;1
2016-0021;1;17/02/2016;Noche;Avenida;7;-58,451577;-34,63063795;Auto;Auto;Conductor;Masculino;34;2016;2;1
2016-0022;1;21/02/2016;Mañana;Avenida;1;-58,381447;-34,61079875;Moto;Auto;Pasajero_Acompañante;Masculino;41;2016;2;1
2016-0025;1;28/02/2016;Madrugada;Gral Paz;8;-58,4624495;-34,70524971;Auto;Auto;Pasajero_Acompañante;Masculino;34;2016;2;1
2016-0026;1;28/02/2016;Mañana;Calle;12;-58,4921619;-34,54738649;Auto;Objeto Fijo;Conductor;Masculino;30;2016;2;1
2016-0027;1;28/02/2016;Mañana;Avenida;7;-58,4449787;-34,63852623;Auto;Auto;Pasajero_Acompañante;Masculino;34;2016;2;1
2016-0028;1;2/03/2016;Mañana;Avenida;1;-58,3819971;-34,60028648;Peaton;Cargas;Peaton;Masculino;50;2016;3;1
2016-0029;1;4/03/2016;Tarde;Avenida;12;-58,4737866;-34,54153077;Peaton;Pasajeros;Peaton;Masculino;38;2016;3;1
2016-0031;1;8/03/2016;Tarde;Gral Paz;8;-58,4706456;-34,69843756;Moto;Pasajeros;Conductor;Masculino;21;2016;3;1
2016-0034;1;12/03/2016;Tarde;Avenida;4;-58,4062395;-34,65076549;Peaton;Pasajeros;Peaton;Masculino;52;2016;3;1
2016-0035;1;13/03/2016;Mañana;Avenida;3;-58,3922897;-34,60443527;Moto;Pasajeros;Conductor;Masculino;34;2016;3;1
2016-0036;1;14/03/2016;Madrugada;Calle;4;-58,378134;-34,63668504;Moto;Pasajeros;Pasajero_Acompañante;Masculino;36;2016;3;1
2016-0037;1;19/03/2016;Mañana;Avenida;7;-58,4627589;-34,64358293;Moto;Moto;Conductor;Masculino;20;2016;3;1
2016-0038;1;21/03/2016;Mañana;Gral Paz;8;-58,4968346;-34,67892743;Peaton;Pasajeros;Peaton;Masculino;29;2016;3;1
2016-0039;1;23/03/2016;Madrugada;Avenida;3;-58,4060322;-34,6088396;Moto;Pasajeros;Conductor;Masculino;20;2016;3;1
2016-0041;2;29/03/2016;Mañana;Avenida;7;-58,4607655;-34,63350444;Moto;Cargas;Conductor;Masculino;54;2016;3;1
2016-0041;2;29/03/2016;Mañana;Avenida;7;-58,4607655;-34,63350444;Moto;Cargas;Pasajero_Acompañante;Masculino;;2016;3;1
2016-0043;1;30/03/2016;Noche;Avenida;8;-58,4783246;-34,67494416;Peaton;Cargas;Peaton;Femenino;56;2016;3;1
2016-0044;1;31/03/2016;Noche;Avenida;7;-58,4321324;-34,63693953;Moto;Multiple;Conductor;Masculino;24;2016;3;1
2016-0045;1;11/04/2016;Mañana;Gral Paz;13;-58,4674347;-34,53476874;Moto;NaN;Conductor;Masculino;;2016;4;1
2016-0047;1;15/04/2016;Madrugada;Calle;1;-58,3824706;-34,62571878;Peaton;Pasajeros;Peaton;Masculino;41;2016;4;1
2016-0048;1;15/04/2016;Tarde;Avenida;15;-58,4475997;-34,5917024;Peaton;Pasajeros;Peaton;Femenino;;2016;4;1
2016-0049;1;17/04/2016;Madrugada;Autopista;4;-58,3771;-34,0,6366;NaN;NaN;NaN;NaN;;2016;4;1
2016-0050;1;19/04/2016;Mañana;Avenida;8;-58,4730546;-34,68550712;Peaton;Pasajeros;NaN;Masculino;78;2016;4;1
2016-0051;1;20/04/2016;Madrugada;Avenida;4;-58,4062395;-34,65076549;Moto;Cargas;Conductor;Masculino;36;2016;4;1
2016-0052;1;20/04/2016;Noche;Autopista;13;-58,4577;-34,5516;Moto;NaN;NaN;NaN;;2016;4;1
2016-0053;1;22/04/2016;Mañana;Avenida;12;-58,4842918;-34,57558053;Peaton;Pasajeros;Peaton;Masculino;38;2016;4;1
2016-0054;1;23/04/2016;Noche;Autopista;8;-58,4869535;-34,68795245;Moto;Moto;Conductor;Masculino;30;2016;4;1
2016-0055;1;25/04/2016;Noche;Avenida;14;-58,4002196;-34,57964781;Peaton;Cargas;Peaton;Masculino;79;2016;4;1
2016-0056;1;26/04/2016;Madrugada;Avenida;14;-58,4295789;-34,57660058;Moto;Objeto Fijo;Conductor;Masculino;26;2016;4;1
2016-0058;1;4/05/2016;Tarde;Calle;1;-58,3824754;-34,62556293;Peaton;Moto;Peaton;Femenino;57;2016;5;1
2016-0059;1;8/05/2016;Tarde;Calle;1;-58,3822222;-34,62728101;Peaton;Pasajeros;Peaton;Masculino;37;2016;5;1
2016-0064;1;14/05/2016;Noche;Avenida;10;-58,4948524;-34,62953445;Peaton;Pasajeros;Peaton;Masculino;20;2016;5;1
2016-0065;1;20/05/2016;Tarde;Avenida;6;-58,4522795;-34,61068024;Peaton;Auto;Peaton;Masculino;20;2016;5;1
2016-0067;1;21/05/2016;Tarde;Avenida;8;-58,4845541;-34,6751276;Moto;Pasajeros;Pasajero_Acompañante;Femenino;30;2016;5;1
2016-0068;1;22/05/2016;Noche;Avenida;2;-58,3905659;-34,58418569;Moto;Pasajeros;Conductor;Masculino;58;2016;5;1
2016-0069;1;23/05/2016;Madrugada;Avenida;3;-58,3911895;-34,62704273;Auto;Cargas;Conductor;Masculino;30;2016;5;1
2016-0073;1;11/06/2016;Tarde;Calle;10;-58,4902195;-34,62025108;Moto;Cargas;Conductor;Masculino;23;2016;6;1
2016-0074;1;12/06/2016;Mañana;Gral Paz;8;-58,4989656;-34,67732118;Auto;Auto;Conductor;Masculino;60;2016;6;1
2016-0075;1;12/06/2016;Noche;Autopista;8;-58,4746108;-34,66874679;Peaton;Auto;Peaton;Masculino;42;2016;6;1
2016-0076;1;13/06/2016;Tarde;Avenida;15;-58,4621089;-34,60356211;Peaton;Pasajeros;Peaton;Femenino;53;2016;6;1
2016-0077;1;13/06/2016;Noche;Avenida;1;-58,3702777;-34,60536123;Peaton;Pasajeros;Peaton;Femenino;;2016;6;1
2016-0078;1;13/06/2016;Noche;Avenida;3;-58,4049146;-34,6146383;Moto;Moto;Conductor;Masculino;30;2016;6;1
2016-0079;1;16/06/2016;Tarde;Avenida;13;-58,4550415;-34,54864492;Auto;Auto;Conductor;Femenino;51;2016;6;1
2016-0080;1;18/06/2016;Mañana;Gral Paz;9;-58,5292798;-34,63931752;Auto;NaN;Conductor;Masculino;60;2016;6;1
2016-0081;1;22/06/2016;Mañana;Avenida;12;-58,4872106;-34,55904606;Moto;Auto;Conductor;Masculino;40;2016;6;1
2016-0082;1;27/06/2016;Noche;Avenida;4;-58,4227309;-34,64228803;Peaton;Auto;Peaton;Masculino;87;2016;6;1
2016-0083;1;28/06/2016;Noche;Avenida;6;-58,4478867;-34,62539009;Peaton;Moto;Peaton;Femenino;76;2016;6;1
2016-0084;1;29/06/2016;Noche;Calle;1;-58,3811056;-34,60135531;Peaton;Pasajeros;Peaton;Masculino;57;2016;6;1
2016-0085;1;29/06/2016;Noche;Avenida;4;-58,4237883;-34,657341;Moto;Otro;NaN;Masculino;;2016;6;1
2016-0086;1;30/06/2016;Tarde;Avenida;10;-58,4872794;-34,63652467;Peaton;Pasajeros;Peaton;Masculino;75;2016;6;1
2016-0087;1;2/07/2016;Madrugada;Autopista;1;-58,3786458;-34,62907067;Moto;Objeto Fijo;Conductor;Masculino;23;2016;7;2
2016-0088;1;11/07/2016;Tarde;Calle;12;-58,5015175;-34,56767549;Peaton;Auto;Peaton;Femenino;70;2016;7;2
2016-0089;1;14/07/2016;Mañana;Autopista;13;-58,4323343;-34,55185825;Peaton;Auto;Peaton;Masculino;35;2016;7;2
2016-0090;1;14/07/2016;Noche;Avenida;5;-58,4197199;-34,6111224;Peaton;Pasajeros;Peaton;Masculino;60;2016;7;2
2016-0092;1;15/07/2016;Mañana;Gral Paz;13;-58,4674347;-34,53476874;Moto;Cargas;Conductor;Masculino;24;2016;7;2
2016-0093;1;17/07/2016;Madrugada;Avenida;6;-58,4436213;-34,62301748;Auto;Auto;Conductor;Masculino;35;2016;7;2
2016-0095;1;23/07/2016;Mañana;Avenida;11;-58,517131;-34,59546519;Moto;Auto;Conductor;Masculino;29;2016;7;2
2016-0096;1;25/07/2016;Mañana;Autopista;8;-58,4743;-34,6668;Moto;Cargas;Conductor;Masculino;;2016;7;2
2016-0097;1;26/07/2016;Noche;Calle;1;-58,3903861;-34,6156281;Peaton;Auto;Peaton;Masculino;80;2016;7;2
2016-0098;1;27/07/2016;Tarde;Avenida;3;-58,4004241;-34,62356174;Moto;Cargas;Conductor;Femenino;43;2016;7;2
2016-0099;1;29/07/2016;Tarde;Gral Paz;11;-58,5234061;-34,59798754;Cargas;Cargas;Conductor;Masculino;45;2016;7;2
2016-0100;1;3/08/2016;Noche;Gral Paz;12;-58,4949105;-34,54795581;Moto;Objeto Fijo;Conductor;Masculino;57;2016;8;2
2016-0101;1;7/08/2016;Noche;Gral Paz;9;-58,52932872;-34,65014993;NaN;NaN;NaN;Masculino;67;2016;8;2
2016-0102;1;10/08/2016;Noche;Avenida;9;-58,50011639;-34,67316502;Moto;Cargas;Conductor;Masculino;29;2016;8;2
2016-0104;1;14/08/2016;Noche;Avenida;9;-58,46635001;-34,65624369;Moto;Pasajeros;Conductor;Masculino;21;2016;8;2
2016-0105;1;17/08/2016;Madrugada;Avenida;15;-58,45343236;-34,58435809;Peaton;Pasajeros;Peaton;Masculino;19;2016;8;2
2016-0106;1;19/08/2016;Noche;Avenida;1;-58,38090932;-34,58927731;Peaton;Pasajeros;Peaton;Masculino;38;2016;8;2
2016-0107;1;20/08/2016;Mañana;Autopista;4;-58,37157668;-34,65429986;Moto;Auto;Conductor;Masculino;21;2016;8;2
2016-0109;1;24/08/2016;Madrugada;Autopista;9;-58,52280139;-34,63659934;Auto;Objeto Fijo;Conductor;Femenino;53;2016;8;2
2016-0110;1;24/08/2016;Noche;Avenida;9;-58,51232237;-34,6590353;Peaton;NaN;Peaton;Masculino;57;2016;8;2
2016-0111;1;25/08/2016;Mañana;Autopista;15;-58,47461905;-34,57663634;Moto;Cargas;Conductor;Masculino;27;2016;8;2
2016-0112;1;27/08/2016;Madrugada;Autopista;1;-58,38268809;-34,62282019;Moto;Objeto Fijo;Conductor;Masculino;24;2016;8;2
2016-0113;1;27/08/2016;Tarde;Avenida;9;-58,49603546;-34,64564271;Peaton;Pasajeros;Peaton;Femenino;60;2016;8;2
2016-0114;1;31/08/2016;Mañana;Calle;14;-58,41848605;-34,59394733;Bicicleta;Cargas;Ciclista;Femenino;55;2016;8;2
2016-0115;1;2/09/2016;Mañana;Calle;12;-58,48935041;-34,54917673;NaN;Cargas;NaN;Masculino;;2016;9;2
2016-0116;1;2/09/2016;Noche;Avenida;8;-58,44451316;-34,68475866;Moto;Auto;Conductor;Masculino;30;2016;9;2
2016-0117;1;3/09/2016;Tarde;Avenida;14;-58,39936478;-34,58271474;Auto;Auto;Conductor;Masculino;43;2016;9;2
2016-0118;1;4/09/2016;Madrugada;Autopista;1;-58,37936704;-34,62694503;Auto;Auto;Conductor;Masculino;27;2016;9;2
2016-0119;1;4/09/2016;Mañana;Avenida;12;-58,49659234;-34,56353635;NaN;NaN;Pasajero_Acompañante;Femenino;;2016;9;2
2016-0122;1;13/09/2016;Mañana;Avenida;9;-58,47256391;-34,65194557;Bicicleta;NaN;Ciclista;Masculino;49;2016;9;2
2016-0123;1;14/09/2016;Mañana;Avenida;7;-58,45130953;-34,64053676;Moto;Auto;Conductor;Femenino;58;2016;9;2
2016-0124;1;16/09/2016;Tarde;Avenida;7;-58,46271207;-34,62884871;Peaton;Pasajeros;Peaton;Masculino;67;2016;9;2
2016-0125;1;17/09/2016;Tarde;Autopista;10;-58,49020869;-34,64243791;Moto;Moto;Conductor;Masculino;30;2016;9;2
2016-0126;2;18/09/2016;Noche;Calle;10;-58,52572109;-34,62125906;Auto;Cargas;Conductor;Masculino;37;2016;9;2
2016-0126;2;18/09/2016;Noche;Calle;10;-58,52572109;-34,62125906;Auto;Cargas;Pasajero_Acompañante;Masculino;60;2016;9;2
2016-0127;1;24/09/2016;Mañana;Avenida;8;-58,44094791;-34,66677111;Peaton;Pasajeros;Peaton;Masculino;50;2016;9;2
2016-0128;1;2/10/2016;Mañana;Avenida;5;-58,41914024;-34,6305389;Peaton;Pasajeros;Peaton;Femenino;81;2016;10;2
2016-0130;1;4/10/2016;Tarde;Autopista;1;-58,37910942;-34,62764717;Moto;Cargas;Conductor;Masculino;29;2016;10;2
2016-0131;1;9/10/2016;Noche;Calle;4;-58,39871183;-34,64539318;Peaton;Auto;Peaton;Masculino;35;2016;10;2
2016-0132;1;10/10/2016;Madrugada;Avenida;3;-58,41036975;-34,62477021;Auto;Pasajeros;Pasajero_Acompañante;Masculino;30;2016;10;2
2016-0133;1;14/10/2016;Madrugada;Avenida;14;-58,40204698;-34,5834269;Moto;Auto;Conductor;Masculino;41;2016;10;2
2016-0134;1;23/10/2016;Madrugada;Avenida;8;-58,48935287;-34,67648597;Moto;Objeto Fijo;Conductor;Masculino;25;2016;10;2
2016-0135;1;24/10/2016;Madrugada;Avenida;14;-58,42260225;-34,56403694;Peaton;NaN;Peaton;Masculino;29;2016;10;2
2016-0136;1;25/10/2016;Madrugada;Autopista;4;-58,38871;-34,64367;Moto;Cargas;Conductor;NaN;;2016;10;2
2016-0137;1;25/10/2016;Madrugada;Avenida;11;-58,51537091;-34,59035925;Moto;Moto;Conductor;Masculino;30;2016;10;2
2016-0138;1;27/10/2016;Noche;Avenida;13;-58,4590967;-34,55922742;Bicicleta;Cargas;Ciclista;Femenino;33;2016;10;2
2016-0139;1;28/10/2016;Noche;Avenida;14;-58,42008769;-34,56539579;Moto;Moto;Pasajero_Acompañante;Femenino;35;2016;10;2
2016-0140;1;31/10/2016;Madrugada;Avenida;13;-58,45566399;-34,56147293;Pasajeros;Pasajeros;Pasajero_Acompañante;Masculino;20;2016;10;2
2016-0142;1;5/11/2016;Noche;Avenida;1;-58,37533517;-34,59276462;Moto;Pasajeros;Conductor;Masculino;46;2016;11;2
2016-0143;1;6/11/2016;Madrugada;Avenida;8;-58,44451316;-34,68475866;Moto;NaN;Conductor;Masculino;35;2016;11;2
2016-0144;1;7/11/2016;Tarde;Avenida;4;-58,35975012;-34,63343907;Peaton;Pasajeros;Peaton;Masculino;83;2016;11;2
2016-0145;1;7/11/2016;Noche;Avenida;13;-58,44523595;-34,55953855;Moto;Auto;Conductor;Masculino;39;2016;11;2
2016-0146;1;9/11/2016;Noche;Avenida;4;-58,39626094;-34,63036565;Peaton;Pasajeros;Peaton;Femenino;29;2016;11;2
2016-0147;1;16/11/2016;Noche;Avenida;1;-58,38896772;-34,61799615;Movil;Pasajeros;Pasajero_Acompañante;Masculino;55;2016;11;2
2016-0148;1;16/11/2016;Noche;Avenida;15;-58,46536113;-34,59484504;Moto;Moto;Conductor;Masculino;;2016;11;2
2016-0150;1;18/11/2016;Noche;Avenida;4;-58,40879146;-34,65273216;Cargas;Cargas;Pasajero_Acompañante;Masculino;41;2016;11;2
2016-0151;1;18/11/2016;Noche;Calle;10;-58,3703;-34,5971;Peaton;NaN;Peaton;NaN;;2016;11;2
2016-0152;1;23/11/2016;Noche;Avenida;7;-58,46451841;-34,64991946;Moto;Auto;Conductor;Masculino;42;2016;11;2
2016-0153;1;25/11/2016;Tarde;Avenida;15;-58,4291709;-34,59485488;Peaton;Moto;Peaton;Femenino;83;2016;11;2
2016-0154;1;26/11/2016;Tarde;Gral Paz;8;-58,49007772;-34,68251141;Moto;Moto;Conductor;Masculino;38;2016;11;2
2016-0155;1;26/11/2016;Tarde;Calle;10;-58,52756365;-34,62772274;Peaton;Auto;Peaton;Femenino;29;2016;11;2
2016-0156;1;26/11/2016;Noche;Avenida;3;-58,40638983;-34,61943202;Moto;Pasajeros;Conductor;Masculino;23;2016;11;2
2016-0157;1;3/12/2016;Mañana;Avenida;11;-58,47576807;-34,61740997;Moto;Moto;Conductor;Masculino;23;2016;12;2
2016-0159;1;4/12/2016;Mañana;Avenida;8;-58,44451316;-34,68475866;Auto;NaN;Conductor;Masculino;23;2016;12;2
2016-0160;1;6/12/2016;Madrugada;Autopista;9;-58,51927194;-34,63635787;Cargas;Objeto Fijo;Conductor;Masculino;29;2016;12;2
2016-0161;1;6/12/2016;Mañana;Avenida;14;-58,42525456;-34,57866344;Peaton;Pasajeros;Peaton;Masculino;50;2016;12;2
2016-0162;1;7/12/2016;Madrugada;Avenida;15;-58,45396573;-34,58518167;Peaton;Auto;Peaton;Masculino;38;2016;12;2
2016-0163;1;10/12/2016;Mañana;Gral Paz;11;-58,52340614;-34,59798754;Moto;Auto;Conductor;Masculino;23;2016;12;2
2016-0164;1;11/12/2016;Mañana;Avenida;4;-58,42323628;-34,64119105;Auto;Auto;Conductor;Masculino;29;2016;12;2
2016-0165;1;12/12/2016;Mañana;Avenida;4;-58,36926144;-34,62841919;Bicicleta;Pasajeros;Ciclista;Masculino;37;2016;12;2
2016-0168;1;13/12/2016;Mañana;Avenida;4;-58,42323628;-34,64119105;Moto;Auto;Conductor;Masculino;43;2016;12;2
2016-0169;1;15/12/2016;Tarde;Avenida;12;-58,47935434;-34,55676497;Moto;Pasajeros;Conductor;Masculino;24;2016;12;2
2016-0170;1;19/12/2016;Tarde;Gral Paz;12;-58,50598256;-34,5637998;Moto;Auto;Pasajero_Acompañante;Masculino;21;2016;12;2
2016-0171;1;25/12/2016;Noche;Autopista;1;-58,36607137;-34,62150748;Moto;Moto;Conductor;NaN;;2016;12;2
2016-0172;1;26/12/2016;Mañana;Avenida;5;-58,41918902;-34,63174259;Moto;Cargas;Conductor;Masculino;38;2016;12;2
2016-0173;1;26/12/2016;Noche;Avenida;7;-58,46749188;-34,63551751;Moto;Cargas;Conductor;Masculino;35;2016;12;2
2016-0174;1;27/12/2016;Madrugada;Autopista;7;-58,42032;-34,62794;NaN;NaN;NaN;NaN;;2016;12;2
2016-0175;1;27/12/2016;Mañana;Calle;7;-58,46064174;-34,62960517;Peaton;NaN;NaN;Femenino;;2016;12;2
2016-0176;1;28/12/2016;Madrugada;Avenida;1;-58,36956186;-34,61232875;Moto;Pasajeros;NaN;Masculino;28;2016;12;2
2016-0177;1;29/12/2016;Madrugada;Calle;14;-58,40966671;-34,58788235;Peaton;Auto;Peaton;Femenino;27;2016;12;2
2016-0178;1;30/12/2016;Tarde;Calle;3;-58,40288226;-34,61544091;Peaton;Multiple;Peaton;Femenino;7;2016;12;2
2017-0001;1;2/01/2017;Madrugada;Avenida;11;-58,4659423;-34,61028571;Moto;Cargas;Conductor;Masculino;18;2017;1;1
2017-0003;1;5/01/2017;Madrugada;Avenida;4;-58,38957669;-34,64410277;Cargas;Cargas;Pasajero_Acompañante;Masculino;33;2017;1;1
2017-0007;1;11/01/2017;Tarde;Calle;1;-58,3816166;-34,61529543;Peaton;Multiple;Peaton;Masculino;48;2017;1;1
2017-0008;1;16/01/2017;Madrugada;Calle;14;-58,43917004;-34,58494351;Moto;Pasajeros;Conductor;Masculino;29;2017;1;1
2017-0009;1;16/01/2017;Tarde;Autopista;5;-58,41595919;-34,62743346;Moto;Cargas;Conductor;Masculino;36;2017;1;1
2017-0010;1;16/01/2017;Tarde;Avenida;6;-58,4356488;-34,62828656;Moto;Auto;Conductor;Masculino;23;2017;1;1
2017-0011;1;22/01/2017;Madrugada;Gral Paz;12;-58,5007381;-34,5497951;Moto;Objeto Fijo;Pasajero_Acompañante;Femenino;29;2017;1;1
2017-0012;1;24/01/2017;Tarde;Calle;4;-58,40969005;-34,6505529;Moto;Cargas;Conductor;Masculino;30;2017;1;1
2017-0013;1;27/01/2017;Mañana;Avenida;4;-58,38972622;-34,65098981;Peaton;Cargas;Peaton;Masculino;4;2017;1;1
2017-0014;1;28/01/2017;Mañana;Avenida;12;-58,49185972;-34,55046754;Moto;Multiple;Pasajero_Acompañante;Femenino;22;2017;1;1
2017-0015;1;2/02/2017;Tarde;Avenida;2;-58,39293417;-34,59963642;Peaton;Auto;Peaton;Masculino;82;2017;2;1
2017-0016;1;3/02/2017;Madrugada;Autopista;1;-58,38099494;-34,62288231;Moto;Cargas;Conductor;Masculino;27;2017;2;1
2017-0017;1;6/02/2017;Mañana;Avenida;14;-58,429012;-34,58095431;Moto;Auto;Conductor;Masculino;32;2017;2;1
2017-0018;1;9/02/2017;Mañana;Gral Paz;9;-58,50877521;-34,66977709;Moto;Auto;Conductor;Masculino;30;2017;2;1
2017-0021;1;18/02/2017;Madrugada;Calle;1;-58,38362373;-34,60509972;Moto;Pasajeros;Conductor;Masculino;43;2017;2;1
2017-0024;1;23/02/2017;Noche;Avenida;7;-58,46589308;-34,62955795;Peaton;Pasajeros;Peaton;Masculino;39;2017;2;1
2017-0025;1;24/02/2017;Tarde;Avenida;7;-58,43614426;-34,6542464;Moto;NaN;Conductor;Masculino;23;2017;2;1
2017-0026;2;26/02/2017;Madrugada;Avenida;4;-58,41842777;-34,64979057;Auto;Objeto Fijo;Pasajero_Acompañante;Femenino;23;2017;2;1
2017-0026;2;26/02/2017;Madrugada;Avenida;4;-58,41842777;-34,64979057;Auto;Objeto Fijo;Conductor;Masculino;19;2017;2;1
2017-0027;1;26/02/2017;Noche;Avenida;1;-58,38332245;-34,6319325;Peaton;Auto;Peaton;Masculino;;2017;2;1
2017-0028;1;28/02/2017;Mañana;Avenida;6;-58,45475488;-34,61196327;Peaton;Auto;Peaton;Masculino;87;2017;2;1
2017-0029;1;7/03/2017;Madrugada;Calle;9;-58,48501341;-34,64742455;NaN;Auto;NaN;Masculino;34;2017;3;1
2017-0030;1;7/03/2017;Mañana;Avenida;9;-58,47010988;-34,65872088;Auto;Pasajeros;Conductor;Femenino;27;2017;3;1
2017-0031;1;11/03/2017;Madrugada;Calle;3;-58,4099756;-34,62873635;Auto;Objeto Fijo;Pasajero_Acompañante;Masculino;70;2017;3;1
2017-0032;1;12/03/2017;Madrugada;Gral Paz;8;-58,48892175;-34,68359163;Auto;Auto;Pasajero_Acompañante;Femenino;40;2017;3;1
2017-0033;1;12/03/2017;Mañana;Gral Paz;11;-58,52466448;-34,60325478;Auto;Auto;Conductor;Masculino;28;2017;3;1
2017-0034;1;13/03/2017;Mañana;Calle;14;-58,42554218;-34,57929036;Peaton;Auto;Peaton;Masculino;43;2017;3;1
2017-0035;3;23/03/2017;Madrugada;Avenida;1;-58,35881506;-34,61113641;Auto;Objeto Fijo;Conductor;Masculino;28;2017;3;1
2017-0035;3;23/03/2017;Madrugada;Avenida;1;-58,35881506;-34,61113641;Auto;Objeto Fijo;Pasajero_Acompañante;Masculino;32;2017;3;1
2017-0035;3;23/03/2017;Madrugada;Avenida;1;-58,35881506;-34,61113641;Auto;Objeto Fijo;Pasajero_Acompañante;Masculino;30;2017;3;1
2017-0036;2;29/03/2017;Noche;Gral Paz;12;-58,51452347;-34,58159762;Moto;Pasajeros;Pasajero_Acompañante;Femenino;;2017;3;1
2017-0036;2;29/03/2017;Noche;Gral Paz;12;-58,51452347;-34,58159762;Moto;Pasajeros;Conductor;Masculino;20;2017;3;1
